dominio,subdominio,titulo,colecao,classificado_por,classificado_em
seguranca-privacidade,"",API Security in Action epub,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",A Risk Practitioner's Guide to ISO 31000:2018,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Best Current Practice for OAuth 2.0 Security,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",CIS Apache HTTP Server 2.4 Benchmark v2.3.0,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",CISA Tabletop Exercise Packages (CTEP) — fact sheet,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","CIS Critical Security Controls, Version 8.1",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",CISSP All-in-One Exam Guide,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",CIS VMware ESXi 8.0 Benchmark v1.3.0,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Coletânea de Normas de Segurança da Informação Classificada,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",CompTIA CySA+ Cybersecurity Analyst Certification All-in-One Exam Guide (Exam CS0-002),firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",CompTIA Security+ Certification Study Guide: Network Security Essentials,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"","Curso Data Protection Officer (DPO) — slides de aula, parte 1",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Curso Data Protection Officer (DPO) — slides de aula, parte 2",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Data Privacy,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Data Protection Engineering: From Theory to Practice (jan. 2022),firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Decreto nº 10.046/2019 — Governança no compartilhamento de dados na administração pública federal,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Decreto nº 10.569, de 9 de dezembro de 2020 — Estratégia Nacional de Segurança Cibernética (E-Ciber)",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Decreto nº 10.748/2021 — Rede Federal de Gestão de Incidentes Cibernéticos,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Decreto nº 12.573, de 4 de agosto de 2025 — Estratégia Nacional de Cibersegurança",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"","Decreto nº 7.724, de 16 de maio de 2012 — Regulamento da Lei de Acesso à Informação",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Decreto nº 7.845, de 14 de novembro de 2012 — Credenciamento de segurança e tratamento de informação classificada",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",Digital Identity Guidelines,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",EDPB-EDPS Joint Opinion 1/2026 on the Proposal for a Regulation as regards the simplification of the implementation of harmonised rules on artificial intelligence (Digital Omnibus on AI),firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Guia Orientativo sobre Segurança da Informação para Agentes de Tratamento de Pequeno Porte, Versão 1.0",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Guidelines 01/2021 on Examples regarding Data Breach Notification, Version 1.0",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Guidelines 01/2022 on data subject rights — Right of access, Version 2.1",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Guidelines 07/2020 on the concepts of controller and processor in the GDPR, Version 2.1",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Guidelines 1/2024 on processing of personal data based on Article 6(1)(f) GDPR, Version 1.0",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Guidelines 4/2019 on Article 25 — Data Protection by Design and by Default, Version 2.0",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Guidelines for the Selection, Configuration, and Use of Transport Layer Security (TLS) Implementations",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Guidelines on shaping pseudonymisation according to GDPR provisions,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Hipóteses legais de tratamento de dados pessoais - Legítimo Interesse,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",How we built Claude Code auto mode: a safer way to skip permissions [snapshot 2026-08-01],firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Incidentes de segurança — curso de Data Protection Officer, FGV Direito Rio",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"","Instrução Normativa GSI/PR nº 2, de 5 de fevereiro de 2013 — Credenciamento de segurança para o tratamento de informação classificada",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"","Instrução Normativa GSI/PR nº 4, de 26 de março de 2020 — Requisitos mínimos de segurança cibernética para redes 5G",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",ISC2 CISSP Certified Information Systems Security Professional Official Study Guide,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",ISO 31000:2018 — Risk management — Guidelines,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",JSON Web Token Best Current Practices,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",JSON Web Token (JWT) Profile for OAuth 2.0 Access Tokens,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Lei nº 12.527, de 18 de novembro de 2011 — Lei de Acesso à Informação",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Lei nº 12.965/2014 — Marco Civil da Internet,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Lei nº 14.063, de 23 de setembro de 2020 — Uso de assinaturas eletrônicas em interações com entes públicos",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Making Claude Code more secure and autonomous with sandboxing [snapshot 2026-08-01],firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Measuring and Managing Information Risk,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",NICE Guide to Cybersec Workers,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"","Norma Complementar 01/IN02/NSC/GSI/PR — disciplina o credenciamento de segurança de pessoas naturais, órgãos e entidades públicas e privadas para o tratamento de informações classificadas",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Norma Complementar 09/IN01/DSIC/GSI/PR,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Norma Complementar 21/IN01/DSIC/GSIPR,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Norma Complementar nº 05/IN01/DSIC/GSIPR,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Norma Complementar nº 08/IN01/DSIC/GSIPR,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Norma Complementar nº 20/IN01/DSIC/GSIPR — Diretrizes de Segurança da Informação e Comunicações para o processo de tratamento da informação,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Nota Técnica nº 1/2026/CGNPE/DAFN — ITI,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Opinion 28/2024 on certain data protection aspects related to the processing of personal data in the context of AI models,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",OSIC 15/2024 — Normatização e regulação de tecnologias emergentes no contexto da cibersegurança,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",OWASP Top 10 for LLM Applications 2025,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Papéis e Responsabilidades do Conselho na Gestão de Riscos Cibernéticos,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Política de Segurança da Informação e Comunicação do Laboratório Nacional de Computação Científica,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Portaria SGD/MGI nº 852/2023 — Programa de Privacidade e Segurança da Informação (PPSI),firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Resolução Anatel nº 740/2020 — Regulamento de Segurança Cibernética Aplicada ao Setor de Telecomunicações,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Resolução CMN nº 4.893, de 26 de fevereiro de 2021 — Política de segurança cibernética e contratação de processamento e armazenamento de dados e de computação em nuvem",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"","Resolução CMN nº 5.274, de 18 de dezembro de 2025",firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Robots Exclusion Protocol,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Security Engineering,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Security Guidance for Critical Areas of Focus in Cloud Computing v3.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",Serious Cryptography,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Solving Identity Management in Modern Applications,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Tecnologia da informação — Técnicas de segurança — Código de prática para a gestão da segurança da informação,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",The Three States of Data Guide: Description and How to Secure Them,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",Threat Modeling,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Threat Modeling: Designing for Security,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,"",Tratamento de dados pessoais para fins acadêmicos e para a realização de estudos e pesquisas — guia orientativo,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Tratamento de dados pessoais pelo Poder Público: guia orientativo,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,"",Uma Extensão Pós-Quântica Híbrida para o Protocolo Matrix: Avaliação Experimental e Impacto Sistêmico,firma,00000000-0000-0000-0000-000000000002,2026-08-08
seguranca-privacidade,seg-acessos,A Zero Trust Architecture Model for Access Control in Cloud-Native Applications in Multi-Location Environments,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,Final: OpenID Connect Core 1.0 incorporating errata set 2 [snapshot 2026-08-01],firma,00000000-0000-0000-0000-000000000002,2026-08-07
seguranca-privacidade,seg-acessos,nist.sp.800-162,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,NIST SP 800-63-4 — Digital Identity Guidelines,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,NIST SP 800-63A-4 — Identity Proofing,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,NIST SP 800-63B-4 — Authentication,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,NIST SP 800-63C-4 — Federation,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,Resource Indicators for OAuth 2.0,firma,00000000-0000-0000-0000-000000000002,2026-08-04
seguranca-privacidade,seg-acessos,Server Administration Guide,firma,00000000-0000-0000-0000-000000000002,2026-08-04
seguranca-privacidade,seg-acessos,The NIST Model for Role-Based Access Control: Towards a Unified Standard,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,The OAuth 2.1 Authorization Framework (draft-ietf-oauth-v2-1-15),firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-acessos,Zero Trust Architecture,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Ameaça da computação quântica e a transição para a criptografia pós-quântica: relatório executivo de segurança,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,CMVP Approved Authentication Mechanisms: CMVP Validation Authority Requirements for ISO/IEC 19790:2012 Annex E and ISO/IEC 24759 Section 6.17,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,CMVP Approved Non-Invasive Attack Mitigation Test Metrics: CMVP Validation Authority Updates to ISO/IEC 24759,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,CMVP Documentation Requirements: CMVP Validation Authority Updates to ISO/IEC 24759,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Coletânea de artigos científicos do CEPESC (2020–2023),firma,00000000-0000-0000-0000-000000000001,2026-08-02
seguranca-privacidade,seg-cripto,Consolidação de Matrizes Criptográficas e Normativas V2,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Consolidação de Matrizes PQC,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Cryptographic Module Validation Program (CMVP)-Approved Security Functions: CMVP Validation Authority Updates to ISO/IEC 24759,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Cryptographic Module Validation Program (CMVP)-Approved Sensitive Security Parameter Generation and Establishment Methods: CMVP Validation Authority Updates to ISO/IEC 24759,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Cryptography Engineering,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,FIPS 140-3 Derived Test Requirements (DTR): CMVP Validation Authority Updates to ISO/IEC 24759,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,"Instrução Normativa GSI/PR nº 3, de 6 de março de 2013 — Parâmetros mínimos de recursos criptográficos de Estado",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,"Instrução Normativa ITI nº 22, de 23 de março de 2022 — Padrões e algoritmos criptográficos da ICP-Brasil (DOC-ICP-01.01)",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,"Instrução Normativa ITI nº 35, de 30 de janeiro de 2026",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Lista de Normativos sobre Criptografia e SI - Brasil,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Manual de Condutas Técnicas 11 — Volume II: procedimentos de ensaios para avaliação de conformidade aos requisitos técnicos de softwares de AC e AR no âmbito da ICP-Brasil,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,"Manual de Condutas Técnicas 11 — Volume I: requisitos, materiais e documentos técnicos para homologação de software de AC e AR no âmbito da ICP-Brasil",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Matriz de Conformidade Normativa para Recursos Criptográficos,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Matriz Produtos Criptográficos x Requerimentos Normativos,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Module-Lattice-Based Digital Signature Standard (ML-DSA),firma,00000000-0000-0000-0000-000000000002,2026-08-07
seguranca-privacidade,seg-cripto,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),firma,00000000-0000-0000-0000-000000000002,2026-08-07
seguranca-privacidade,seg-cripto,NIST SP 800-111 — Storage Encryption,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,nist.sp.800-57pt1r5,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Nota técnica de consulta: requisitos de adoção da biblioteca libharpia para a plataforma de produção de conhecimento de inteligência,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Relatório executivo: a transição para a criptografia pós-quântica (PQC) e a proteção das infraestruturas críticas no Brasil,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Relatório executivo: estratégia de transição PQC e soberania digital do Brasil,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Security Requirements for Cryptographic Modules,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-cripto,Stateless Hash-Based Digital Signature Standard (SLH-DSA),firma,00000000-0000-0000-0000-000000000002,2026-08-07
seguranca-privacidade,seg-cripto,Transição Brasileira para a Prontidão Pós-Quântica (PQC) e Soberania Digital,firma,00000000-0000-0000-0000-000000000002,2026-08-06
seguranca-privacidade,seg-cripto,Transitioning the Use of Cryptographic Algorithms and Key Lengths,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,ABNT NBR ISO/IEC 27701:2019 — Técnicas de segurança — Extensão da ABNT NBR ISO/IEC 27001 e 27002 para gestão da privacidade da informação,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,BigID Professional Course Handbook,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,Data Protection Officer — curso FGV Direito Rio,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,De-Identifying Government Datasets: Techniques and Governance,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,DPO Guide,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,GDPR e LGPD - Comparativo Parte I (Jose Belo),firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,"Lei nº 13.709, de 14 de agosto de 2018 — Lei Geral de Proteção de Dados Pessoais (LGPD)",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,LGPD - Saúde,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,LINDDUN — árvore de ameaças: Linking,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,LINDDUN — árvores de ameaças (conjunto),firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,"NIST Privacy Framework: A Tool for Improving Privacy Through Enterprise Risk Management, Version 1.0",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,NIST SP 800-88 Rev.1 — Media Sanitization,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,nistspecialpublication800-122,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,OneTrust User Guide,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,The Algorithmic Foundations of Differential Privacy,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,The EU General Data Protection Regulation (GDPR): A Practical Guide,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-dados-privacidade,Understanding Privacy,firma,00000000-0000-0000-0000-000000000002,2026-08-04
seguranca-privacidade,seg-dados-privacidade,Xeque-Mate: o tripé de proteção de dados pessoais no xadrez das iniciativas legislativas no Brasil,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,CTIR-Taxonomiatabela,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,"Digital Forensics Processing and Procedures: Meeting the Requirements of ISO 17020, ISO 17025, ISO 27001 and Best Practice Requirements",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,Guide to Computer Security Log Management,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,ISO 22301 — Business Continuity,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,MITRE ATT&CK: Design and Philosophy,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,NIST SP 800-34 Rev.1 — Contingency Planning,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,NIST SP 800-61 Rev.3 — Incident Handling,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,nistspecialpublication800-84,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,SIEM Use Cases for SOC ANALYST,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-deteccao-resposta,WP2017 O-3-1-1 Good practice guide on how to improve CSIRT capabilities,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,CIS Controls v8,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,"Decreto nº 12.572, de 4 de agosto de 2025 — Política Nacional de Segurança da Informação",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,Information security management systems — Requirements,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,"Instrução Normativa GSI/PR nº 1, de 27 de maio de 2020 — Estrutura de Gestão da Segurança da Informação na administração pública federal",firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,ISO 31000:2018 — Risk Management,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,ISO/IEC 27000 — Information technology — Security techniques — Information security management systems — Overview and vocabulary,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,ISO/IEC 27002:2013 — Information technology — Security techniques — Code of practice for information security controls,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,NIST SP 800-53 Rev.5 — Security and Privacy Controls,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-governanca-controles,The NIST Cybersecurity Framework (CSF) 2.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-ofensiva,nistspecialpublication800-115,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-ofensiva,The Red Team Guide by Peerlyst,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-operacional,Introduction to Mobile Security,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,Alice and Bob Learn Secure Coding,firma,00000000-0000-0000-0000-000000000002,2026-08-04
seguranca-privacidade,seg-plataforma-aplicacoes,CIS Docker Benchmark v1.7,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS Google Android Benchmark v1.6.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS Google Cloud Platform Foundation Benchmark,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS Google Container-Optimized OS Benchmark,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS Linux Mint 22 Benchmark v1.0.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS MariaDB 10.11 Benchmark v1.0.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS Mozilla Firefox 102 ESR Benchmark v1.0.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS NGINX Benchmark v3.0.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,CIS PostgreSQL 18 Benchmark v1.0.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,nist.sp.800-190,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,nist.sp.800-218,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,OWASP Application Security Verification Standard 5.0.0,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,OWASP SAMM v2.2.0,firma,00000000-0000-0000-0000-000000000002,2026-08-03
seguranca-privacidade,seg-plataforma-aplicacoes,Secure-Programs-HOWTO,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,Secure Virtual Network Configuration for Virtual Machine (VM) Protection,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-plataforma-aplicacoes,Software Supply Chain Security,firma,00000000-0000-0000-0000-000000000002,2026-08-04
seguranca-privacidade,seg-redes,Guidelines on Firewalls and Firewall Policy,firma,00000000-0000-0000-0000-000000000000,2026-07-31
seguranca-privacidade,seg-redes,NIST SP 800-46 Rev.2 — Telework/Remote Access,firma,00000000-0000-0000-0000-000000000000,2026-07-31
